Timestamp,Timestamp (ISO 8601),X,Y,Page
1763286259.240413,2025-11-16T15:14:19.240412,0,620,index_page_1
1763286259.287254,2025-11-16T15:14:19.287253,0,671,index_page_1
1763286259.491005,2025-11-16T15:14:19.491005,0,727,index_page_1
1763286259.539916,2025-11-16T15:14:19.539915,0,605,index_page_1
1763286259.585205,2025-11-16T15:14:19.585205,0,605,index_page_1
1763286261.640349,2025-11-16T15:14:21.640348,686,1080,charging_page_1
1763286261.751392,2025-11-16T15:14:21.751391,709,821,charging_page_1
1763286261.798392,2025-11-16T15:14:21.798391,599,920,charging_page_1
1763286261.868514,2025-11-16T15:14:21.868514,661,807,charging_page_1
1763286261.909891,2025-11-16T15:14:21.909891,715,973,charging_page_1
1763286261.973471,2025-11-16T15:14:21.973470,759,947,charging_page_1
1763286262.020405,2025-11-16T15:14:22.020405,629,768,charging_page_1
1763286262.097739,2025-11-16T15:14:22.097738,680,747,charging_page_1
1763286262.160734,2025-11-16T15:14:22.160734,641,757,charging_page_1
1763286262.191661,2025-11-16T15:14:22.191660,632,766,charging_page_1
1763286262.238663,2025-11-16T15:14:22.238663,625,774,charging_page_1
1763286262.282075,2025-11-16T15:14:22.282075,744,704,charging_page_1
1763286262.346730,2025-11-16T15:14:22.346730,841,786,charging_page_1
1763286262.394341,2025-11-16T15:14:22.394340,195,392,charging_page_1
1763286262.441857,2025-11-16T15:14:22.441856,165,399,charging_page_1
1763286262.487637,2025-11-16T15:14:22.487636,171,385,charging_page_1
1763286262.531113,2025-11-16T15:14:22.531113,87,468,charging_page_1
1763286262.597625,2025-11-16T15:14:22.597625,93,498,charging_page_1
1763286262.660682,2025-11-16T15:14:22.660681,54,438,charging_page_1
1763286262.691682,2025-11-16T15:14:22.691681,59,438,charging_page_1
1763286262.738192,2025-11-16T15:14:22.738192,76,464,charging_page_1
1763286262.788359,2025-11-16T15:14:22.788359,73,451,charging_page_1
1763286262.846730,2025-11-16T15:14:22.846730,9,380,charging_page_1
1763286262.876780,2025-11-16T15:14:22.876779,105,515,charging_page_1
1763286262.923416,2025-11-16T15:14:22.923416,217,873,charging_page_1
1763286263.000509,2025-11-16T15:14:23.000509,217,726,charging_page_1
1763286263.047102,2025-11-16T15:14:23.047102,175,685,charging_page_1
1763286263.095129,2025-11-16T15:14:23.095129,179,694,charging_page_1
1763286263.142134,2025-11-16T15:14:23.142133,133,682,charging_page_1
1763286263.190200,2025-11-16T15:14:23.190200,118,736,charging_page_1
1763286263.237516,2025-11-16T15:14:23.237515,9,717,charging_page_1
1763286263.324900,2025-11-16T15:14:23.324899,20,860,disabled_charging_1
1763286263.395440,2025-11-16T15:14:23.395440,0,774,disabled_charging_1
1763286263.445830,2025-11-16T15:14:23.445829,0,624,disabled_charging_1
1763286263.725847,2025-11-16T15:14:23.725846,24,424,disabled_charging_1
1763286263.788136,2025-11-16T15:14:23.788135,80,419,disabled_charging_1
1763286263.835228,2025-11-16T15:14:23.835227,39,404,disabled_charging_1
1763286263.897692,2025-11-16T15:14:23.897692,42,390,disabled_charging_1
1763286263.961720,2025-11-16T15:14:23.961719,20,428,disabled_charging_1
1763286264.025718,2025-11-16T15:14:24.025718,642,765,disabled_charging_1
1763286264.072025,2025-11-16T15:14:24.072025,675,763,disabled_charging_1
1763286264.119596,2025-11-16T15:14:24.119596,785,704,disabled_charging_1
1763286264.182882,2025-11-16T15:14:24.182881,828,724,disabled_charging_1
1763286264.229751,2025-11-16T15:14:24.229750,759,556,disabled_charging_1
1763286264.298615,2025-11-16T15:14:24.298615,784,498,disabled_charging_1
1763286264.353644,2025-11-16T15:14:24.353644,800,446,disabled_charging_1
1763286264.385337,2025-11-16T15:14:24.385337,773,470,disabled_charging_1
1763286264.431664,2025-11-16T15:14:24.431663,780,601,disabled_charging_1
1763286264.487692,2025-11-16T15:14:24.487692,776,622,disabled_charging_1
1763286264.538306,2025-11-16T15:14:24.538305,848,637,disabled_charging_1
1763286264.728180,2025-11-16T15:14:24.728179,736,1079,disabled_charging_1
1763286264.774395,2025-11-16T15:14:24.774394,636,905,disabled_charging_1
1763286264.820883,2025-11-16T15:14:24.820883,952,1080,disabled_charging_1
1763286264.883405,2025-11-16T15:14:24.883404,897,1037,disabled_charging_1
1763286264.930082,2025-11-16T15:14:24.930082,855,1067,disabled_charging_1
1763286264.977445,2025-11-16T15:14:24.977445,889,1029,disabled_charging_1
1763286265.024357,2025-11-16T15:14:25.024357,888,1080,disabled_charging_1
1763286265.086752,2025-11-16T15:14:25.086752,875,1080,disabled_charging_1
1763286265.151757,2025-11-16T15:14:25.151756,818,931,disabled_charging_1
1763286265.182265,2025-11-16T15:14:25.182265,814,910,disabled_charging_1
1763286265.244630,2025-11-16T15:14:25.244630,844,961,disabled_charging_1
